description,category
Starbucks,Food
Whole Foods,Groceries
Netflix subscription,Entertainment
Uber ride,Transportation
Shell gas station,Transportation
Walmart,Groceries
AMC Theatres,Entertainment
Amazon.com,Shopping
Salary deposit,Income
Rent payment,Housing
Online Course,Education
Gym Membership,Health & Fitness
Car Insurance,Automotive
Electric Bill,Utilities
Mortgage Payment,Housing
Dividend Income,Income
Investment Purchase,Investment
Utility Bill,Utilities
Internet Bill,Utilities
Mobile Phone Bill,Utilities
Gym Fee,Health & Fitness
Movie Tickets,Entertainment
Concert Tickets,Entertainment
Public Transport,Transportation
Taxi Fare,Transportation
Coffee,Food
Restaurant Dinner,Food
Online Shopping,Shopping
Travel Airfare,Travel
Hotel Stay,Travel
Gasoline,Automotive
Car Repair,Automotive
Doctor Visit,Health
Pharmacy,Health
Student Loan Payment,Debt
Credit Card Payment,Debt
Bank Fee,Bank Fees
ATM Withdrawal,Cash
Donation,Charity
Gift,Gifts
Home Repair,Home Improvement
Gardening Supplies,Home Improvement
Investment Sale,Investment
Stock Dividend,Income
Bonus,Income
